price,bedrooms,living_area,kitchen_type,furnished,terrace_surface,garden_surface,plot_surface,frontage,swimming_pool,condition,property_type
465000,3,120,1,0,8,0,120,2,0,1,7
144000,2,67,2,0,4,0,67,2,0,2,0
972000,4,160,2,0,0,0,154,2,0,2,10
339000,5,200,3,0,30,0,506,3,0,5,1
318000,3,251,2,0,0,0,233,2,0,1,10
145000,1,70,2,0,0,0,70,2,0,2,0
435000,3,145,0,0,5,0,145,3,0,2,0
265000,3,162,3,0,0,0,605,4,0,2,1
224000,2,96,2,0,0,7,96,2,0,2,0
295000,2,113,2,0,32,0,113,3,0,2,0
560000,4,160,2,0,40,0,160,2,0,2,7
525000,4,194,2,0,0,493,837,4,0,2,14
245000,3,130,2,0,0,0,130,2,0,2,2
420000,2,80,1,0,14,0,80,4,0,1,0
332000,2,92,1,0,24,0,92,2,0,1,0
498000,2,95,1,0,50,0,95,3,0,1,7
640000,5,333,2,0,74,9116,9116,4,0,1,3
375000,3,136,2,0,8,0,136,2,0,1,15
299000,3,110,2,0,0,0,196,3,0,2,1
669000,3,245,2,0,0,0,1685,4,0,2,3
480000,3,95,1,1,12,0,95,2,0,1,0
350000,3,250,2,0,0,0,1488,4,0,2,1
250000,2,100,2,0,7,0,100,2,0,2,0
424900,2,110,1,0,5,0,110,2,0,2,0
1495000,5,255,1,0,40,1200,255,3,0,4,0
179000,3,134,3,0,0,0,134,2,0,2,1
285000,2,159,2,0,25,0,159,2,0,1,0
175000,1,56,3,0,0,0,56,2,0,5,0
3500000,3,540,1,0,36,0,540,4,1,1,7
225000,3,100,0,0,29,140,242,2,0,5,1
383250,2,129,1,0,24,142,129,4,0,2,0
220000,4,140,2,0,20,0,395,2,0,1,1
1295000,4,195,1,0,21,205,195,2,0,1,6
259000,1,79,2,0,4,0,79,2,0,2,0
295000,2,92,2,0,12,0,92,3,0,2,0
725000,4,265,1,0,75,0,154,2,0,1,9
204500,2,84,2,0,18,0,84,2,0,1,0
1695000,5,330,2,1,0,0,131,1,0,1,5
329000,2,84,2,0,7,0,84,2,0,2,0
265000,2,80,1,0,9,0,80,2,0,2,0
1450000,4,499,3,0,0,3633,4132,4,1,2,1
295000,3,124,3,0,7,867,939,4,0,2,1
315000,2,85,1,0,0,0,85,2,0,1,0
950000,5,360,1,0,6,200,370,3,0,2,1
295000,3,167,3,0,40,0,217,3,0,1,1
335000,3,114,1,0,9,0,114,2,0,2,2
650000,2,64,1,0,3,0,64,2,0,1,0
475000,3,169,2,0,20,115,255,3,0,1,1
195000,3,177,0,0,0,0,177,2,0,2,0
235000,3,108,2,0,0,0,108,2,0,2,2
387010,3,129,2,0,11,0,129,4,0,2,0
195000,1,50,0,0,0,0,50,1,0,1,0
360000,4,238,2,0,35,0,130,2,0,3,9
285000,5,236,2,0,0,0,104,2,0,1,1
