Locality,Price,Bedrooms,Living area,Kitchen type,Furnished,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type of property 
gentbrugge,"241,000",2,91,Semi equipped,0,4,None,None,None,0,To renovate,apartment
gent,"299,000",3,155,Installed,0,None,25,83,2,None,Good,house
herent,"745,000",5,505,None,0,None,380,None,3,None,Good,loft
halle,"799,000",2,650,Installed,0,None,None,1513,4,None,To be done up,house
rhode-saint-genese,"515,000",3,168,USA hyper equipped,0,32,400,559,4,1,Good,villa
auderghem,"350,000",3,111,Hyper equipped,0,5,None,None,3,0,Good,apartment
soignies,"180,000",2,80,Installed,0,3,600,None,None,None,Good,apartment
molenbeek-saint-jean,"420,000",1,155,Hyper equipped,0,20,None,None,2,None,As new,loft
anderlecht,"495,000",3,160,Installed,0,None,None,None,4,None,None,apartment
diest,"649,000",3,260,USA hyper equipped,None,60,640,640,4,0,As new,exceptional-property
gent,"349,900",2,85,None,None,7,None,None,2,1,As new,duplex
slins,"174,500",2,90,Installed,None,None,None,61,2,0,Good,house
malle,"469,000",3,246,Installed,0,24,265,385,3,0,As new,house
denderleeuw,"399,000",3,154,Installed,None,None,None,350,3,0,Good,house
antwerp,"219,000",1,77,Hyper equipped,0,None,None,None,None,None,As new,apartment
ganshoren,"362,500",3,150,Semi equipped,0,None,72,185,2,None,Good,house
cras-avernas,"349,000",3,179,Installed,0,10,80,140,3,0,Good,house
ixelles,"1,780,000",3,235,Hyper equipped,None,15,None,None,2,None,None,apartment
ichtegem,"199,000",2,76,Installed,0,None,None,None,2,None,Good,apartment
graven,"439,000",3,170,Hyper equipped,0,10,None,390,3,None,As new,house
oostende,"178,000",None,37,Installed,0,3,None,None,None,None,As new,flat-studio
uccle,"625,000",4,160,Semi equipped,0,11,90,None,2,None,To renovate,house
ronse,"245,000",2,134,Hyper equipped,0,6,None,None,3,0,As new,apartment
aalst,"350,000",2,107,Hyper equipped,0,69,None,None,None,0,As new,penthouse
lippelo,"209,000",2,85,Installed,0,4,None,None,2,None,Good,apartment
