Locality,Price,Bedrooms,Living area,Kitchen type,Furnished,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type of property 
arlon,"390,000",4,199,Not installed,0,None,None,1076,2,None,To renovate,house
braine-lalleud,"395,000",2,104,Installed,0,None,1660,2080,3,None,Good,house
deinze,"265,000",2,82,Hyper equipped,0,13,None,None,None,0,As new,apartment
auderghem,"849,000",4,230,Hyper equipped,0,35,100,206,2,0,As new,house
wilsele,"295,000",2,70,Installed,0,7,None,None,None,0,As new,service-flat
schaerbeek,"710,000",3,232,Installed,None,None,None,None,3,None,As new,apartment
huy,"260,000",2,125,Installed,0,6,None,None,4,None,Good,apartment
auderghem,"349,000",2,80,USA hyper equipped,0,3,None,None,2,0,Good,apartment
bassenge,"167,000",2,153,Installed,0,86,430,540,4,0,Good,house
hogne,"285,000",3,172,Installed,0,None,1793,1793,None,None,Good,villa
namur,"229,000",3,113,None,0,None,None,None,3,None,None,apartment
lommel,"949,000",3,150,Installed,0,None,None,None,None,None,As new,penthouse
halle,"295,000",4,124,Not installed,0,None,None,505,None,0,To be done up,house
berchem-sainte-agathe,"174,000",2,73,Installed,0,3,None,None,2,0,To be done up,apartment
liege,None,2,70,Not installed,0,None,None,None,None,None,None,apartment
knokke-heist,"4,600,000",3,163,None,1,9,None,None,2,0,As new,apartment
brussels,"211,000",1,58,USA hyper equipped,None,9,None,None,2,0,As new,apartment
uccle,"1,975,000",6,780,Hyper equipped,0,15,80,275,2,0,Just renovated,house
huldenberg,"545,000",3,198,Hyper equipped,0,None,290,730,4,None,Good,house
knokke-heist,"1,775,000",8,350,USA hyper equipped,None,None,270,270,3,0,Good,villa
lokeren,"395,000",3,203,USA hyper equipped,0,None,115,136,2,0,As new,house
balegem,"384,500",3,165,None,0,None,None,1173,None,None,Good,house
lesve,"395,000",4,300,Installed,0,None,None,5813,4,None,As new,house
waasmunster,"665,000",6,None,Installed,0,None,None,3023,None,None,Good,house
vilvoorde,"274,000",1,62,Semi equipped,0,4,None,None,None,None,Good,apartment
beersel,"450,000",3,125,Hyper equipped,0,None,None,141,3,None,Just renovated,house
saint-ghislain-hautrage,"144,000",1,59,Hyper equipped,0,8,None,None,2,None,As new,apartment
la-hulpe,"515,000",3,130,Semi equipped,None,None,650,1000,4,1,To renovate,villa
tervuren,"504,300",3,195,Hyper equipped,None,None,None,566,3,None,As new,house
mechelen,"1,500,000",6,598,Hyper equipped,1,None,None,2930,4,None,Good,villa
aalst,"309,000",2,109,None,0,22,None,None,2,1,To restore,loft
denderleeuw,"350,000",4,181,Hyper equipped,None,None,None,675,4,0,Good,house
leuze-en-hainaut,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-houses
antwerp,"259,000",1,91,Installed,0,None,None,None,2,None,Good,apartment
waarschoot,"192,500",3,125,Semi equipped,0,None,None,None,4,None,To renovate,house
huldenberg,"595,400",3,240,Hyper equipped,None,None,None,718,3,None,As new,house
lasne,"725,000",4,360,Installed,0,27,1500,1800,4,None,To be done up,villa
melsele,"195,000",2,None,Installed,0,None,None,693,None,None,Good,house
uccle,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
ixelles,"650,000",3,173,Installed,0,None,None,None,2,0,To be done up,apartment
brussels-city,"165,000",1,48,Installed,1,None,None,None,None,None,Good,apartment
ruisbroek,"439,000",3,178,Installed,0,None,None,4312,None,0,To be done up,country-cottage
bastogne,"118,000",1,34,None,0,None,None,None,3,None,None,apartment
arendonk,"169,000",1,62,Installed,0,20,None,None,4,None,None,apartment
gistel,"199,000",2,99,Installed,0,7,None,None,None,None,Good,duplex
la-bruyere,"250,000",2,95,USA installed,0,16,782,None,4,0,As new,ground-floor
laeken,"379,000",2,120,USA hyper equipped,0,110,None,None,3,0,Good,penthouse
sint-agatha-berchem,"475,000",3,148,Hyper equipped,0,None,15,85,2,0,As new,town-house
grimbergen-strombeek-bever,"215,000",2,87,Semi equipped,None,None,None,None,2,None,Good,apartment
tervuren,"502,700",3,195,Hyper equipped,None,None,None,560,3,None,As new,house
trooz,"109,000",3,110,Not installed,0,25,200,445,3,None,To renovate,house
ekeren,"480,000",3,230,Installed,0,None,None,None,None,None,Good,house
charleroi,"142,000",3,130,Installed,0,10,None,None,3,None,As new,apartment
itterbeek,None,3,192,Installed,0,None,None,None,2,None,Good,penthouse
ixelles,"595,000",5,190,None,0,5,None,60,2,None,To renovate,house
braine-lalleud,"400,000",4,145,Installed,0,20,None,292,2,0,As new,town-house
poperinge,"199,000",3,187,Semi equipped,0,None,None,84,None,None,Good,house
brugge-sint-andries,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
schaerbeek,"225,000",1,65,Installed,0,12,None,None,None,0,As new,penthouse
tielt-winge,"359,000",3,204,Hyper equipped,0,50,1100,1697,3,None,Just renovated,house
leopoldsburg,"179,000",3,90,USA hyper equipped,0,None,None,None,2,None,As new,apartment
berlaar,"219,000",2,80,Installed,None,None,None,None,None,0,Just renovated,penthouse
eghezee,"249,000",3,178,Installed,0,15,105,258,None,None,Good,house
bruxelles,"195,000",1,66,Installed,0,None,None,None,2,0,Good,apartment
hasselt,"795,000",4,220,None,None,None,None,None,None,0,None,apartment
denderleeuw,"775,000",5,298,Installed,0,None,None,1870,4,1,Good,villa
anderlues,"190,000",4,190,Installed,0,None,None,190,2,None,To be done up,house
louette-saint-pierre,"729,000",7,777,USA installed,1,None,1717,2031,4,0,As new,exceptional-property
molenbeek-st-jean,"250,000",2,95,Hyper equipped,0,8,None,None,2,None,As new,apartment
mol,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
masnuy-saint-jean,"212,000",4,250,Not installed,0,None,None,960,None,None,Good,house
uccle,"1,240,000",5,260,Hyper equipped,0,80,50,None,3,None,As new,apartment
limbourg,None,3,148,Installed,None,None,None,None,None,None,As new,apartment
molenbeek-saint-jean,"159,000",None,40,Installed,0,5,None,None,2,None,As new,flat-studio
itterbeek,None,3,192,Installed,0,None,None,None,2,None,Good,apartment
lot,"270,000",3,110,Installed,0,None,225,225,2,None,Just renovated,house
seraing-jemeppesur-meuse,"79,500",3,120,Not installed,0,15,148,230,2,0,Good,house
middelkerke,"175,000",None,34,Installed,1,None,None,None,2,None,Good,flat-studio
malderen,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
woluwe-st-lambert,"449,000",2,83,Hyper equipped,0,66,None,None,None,None,None,penthouse
waterloo,"669,000",6,205,Hyper equipped,0,35,220,480,3,0,As new,house
brussels,"180,000",None,53,USA hyper equipped,0,None,None,None,2,0,As new,flat-studio
knokke,"3,250,000",1,170,None,None,None,None,None,None,0,As new,apartment
viesville,"120,000",2,110,Semi equipped,0,None,None,80,2,None,To be done up,house
jette,"229,000",2,75,None,0,None,None,None,2,0,None,apartment
brussels-city,"395,000",4,240,Installed,0,None,None,75,2,None,Good,house
monceau-sur-sambre,"299,000",4,139,Hyper equipped,0,21,None,None,4,None,As new,apartment
uccle,"525,000",2,125,Hyper equipped,0,5,None,None,None,0,Good,apartment
aalter,"1,350,000",3,280,None,0,None,None,9460,4,None,Good,villa
etterbeek,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
seraing,"179,500",4,195,Not installed,0,40,195,400,2,0,Good,house
ronse,"995,000",4,294,Hyper equipped,0,290,265,None,4,None,As new,loft
sint-andries,"495,000",4,207,Installed,0,None,260,631,4,0,To renovate,house
kraainem,"548,000",3,163,USA installed,None,None,None,200,2,None,As new,house
gembloux,"750,000",10,687,Semi equipped,0,None,None,587,4,None,Good,apartment-block
neder-over-heembeek,"410,000",2,123,USA hyper equipped,0,111,None,None,2,0,Good,penthouse
stekene,"195,000",2,58,Installed,0,None,None,None,None,None,Good,apartment
liege,"299,500",2,126,USA hyper equipped,0,4,None,None,None,None,None,apartment
neerheylissem,"365,000",2,133,Installed,0,16,987,1205,3,None,Good,house
herstal,"210,000",3,139,Installed,0,19,None,None,2,0,As new,apartment
assebroek,"195,000",2,91,Hyper equipped,0,10,None,None,3,None,Good,apartment
bernissart,"110,000",1,57,Hyper equipped,0,None,None,None,2,None,As new,apartment
genappe,"640,000",5,255,Hyper equipped,0,30,2300,2800,4,1,None,house
erps-kwerps,"295,000",3,127,Semi equipped,0,8,None,None,2,None,Good,apartment
eeklo,"750,000",6,562,Installed,0,None,None,1650,None,None,As new,villa
etterbeek,"450,000",4,145,None,0,None,None,None,2,None,As new,apartment
waterloo,"885,000",4,270,None,0,50,None,1800,4,None,Good,villa
awans,"259,900",3,80,Hyper equipped,0,20,300,454,3,None,None,house
ronse,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
mons-lez-liege,"425,000",4,154,Semi equipped,0,160,None,2555,None,None,Good,house
fleurus,"170,000",2,80,Installed,0,None,None,None,2,None,Just renovated,apartment
seneffe,"250,000",4,173,Semi equipped,0,None,158,236,3,0,Good,house
boom,"295,000",4,153,Installed,0,None,None,95,3,None,Good,house
sint-truiden,"750,000",3,None,Installed,0,None,None,5958,None,0,To renovate,country-cottage
gent,"279,000",3,120,Installed,0,None,None,None,2,0,Good,duplex
waregem,"369,500",3,150,None,0,44,None,None,None,None,Good,apartment
etterbeek,"520,000",4,203,Hyper equipped,0,None,None,203,2,None,Good,house
bruxelles,"595,000",2,160,USA hyper equipped,0,25,None,None,3,0,As new,loft
blankenberge,"329,000",4,146,Installed,0,None,None,73,2,None,Good,house
bastogne,"465,000",3,200,None,0,None,None,1157,4,None,None,villa
saint-sauveur,"325,000",3,120,Installed,0,None,None,1000,2,None,Good,house
wetteren,"155,000",1,75,USA installed,None,None,None,None,3,None,Good,apartment
soignies,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
aalst,"149,000",1,76,None,0,None,None,None,None,None,None,apartment
berlaar,"359,000",2,160,None,0,20,245,385,3,0,As new,house
malmedy,"390,000",4,299,USA installed,0,28,None,None,4,0,To be done up,house
ronse,"160,000",2,110,Installed,0,None,None,120,2,None,Good,house
kontich,"681,345",3,186,Hyper equipped,0,40,None,None,4,None,None,apartment
temse-steendorp,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
marche-en-famenne,"639,000",5,247,Installed,0,20,None,40100,4,0,Good,mixed-use-building
antwerp,"795,000",2,213,USA hyper equipped,None,None,None,None,None,0,As new,apartment
mechelen,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
woluwe-st-etienne,"475,000",3,150,Hyper equipped,0,20,90,150,2,None,Just renovated,house
oostende,"295,000",2,71,Hyper equipped,0,None,None,None,None,0,As new,apartment
genappe,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
forest,"439,000",4,271,Semi equipped,0,None,None,500,3,None,Good,house
breendonk,"370,000",3,130,Hyper equipped,0,21,32,None,None,None,None,house
gembloux,"389,000",5,282,Installed,0,None,601,601,None,None,Good,house
hastiere,"187,000",3,110,Hyper equipped,1,40,None,77,None,None,As new,house
aywaille,"269,000",4,235,Installed,0,30,415,560,3,None,To be done up,house
gent,"444,500",2,109,None,0,15,None,None,None,0,None,apartment
knokke-heist,"1,165,000",4,163,USA hyper equipped,0,None,None,None,2,0,As new,house
rhode-saint-genese,"2,280,000",5,390,Hyper equipped,None,None,None,2262,4,None,None,villa
braine-le-comte,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
burg-reuland,"375,000",9,285,None,0,20,None,947,3,None,Good,house
molenbeek-saint-jean,"180,000",2,80,Not installed,0,None,None,None,2,0,To renovate,apartment
oudenaarde,"369,000",2,205,None,0,30,None,None,2,0,As new,apartment
deinze,"315,000",2,94,Installed,0,13,None,None,None,0,None,apartment
deerlijk,"308,603",3,141,Installed,0,None,None,544,None,None,None,house
nivelles,"250,000",2,90,None,0,27,None,None,3,0,Good,apartment
roux,"189,900",4,184,Semi equipped,0,None,480,580,3,0,Good,house
steenokkerzeel,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
berchem,"214,000",2,80,Installed,0,None,None,None,None,None,Good,apartment
avelgem,"259,500",2,103,Installed,0,10,None,None,2,None,Good,apartment
perwez-orbais,"266,845",2,100,USA hyper equipped,0,8,36,None,2,0,As new,ground-floor
forest,"429,000",3,155,None,0,None,None,59,2,0,None,house
kessel-lo,"270,000",2,80,None,0,25,None,None,None,0,As new,apartment
liege,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
neupre,None,2,90,Installed,None,None,None,927,4,None,Good,bungalow
herzele,"329,000",3,286,Installed,0,80,20,295,None,None,As new,house
moha,"139,500",2,75,Semi equipped,0,None,None,910,3,None,To renovate,house
tielt,"325,000",3,111,Semi equipped,0,None,None,1752,None,None,Good,house
izegem,"329,500",3,133,Installed,None,None,None,None,None,0,As new,apartment
schaerbeek,"565,000",6,335,Not installed,0,None,30,110,None,None,Just renovated,apartment-block
herstal,"125,000",7,232,None,0,None,None,None,2,None,None,apartment
engis,"169,000",3,134,Installed,0,None,None,75,3,None,Just renovated,house
gent,"455,000",3,124,None,None,18,None,None,None,0,None,apartment
merelbeke,"275,000",1,71,Hyper equipped,0,None,3000,None,2,None,As new,service-flat
borgloon,"299,000",3,149,Installed,0,None,None,None,None,None,None,house
mouscron,"269,000",6,253,Semi equipped,0,35,None,270,2,None,To renovate,house
brugge-assebroek,"428,000",4,260,USA semi equipped,0,20,80,340,3,0,As new,house
bruxelles,"385,000",2,78,Installed,0,15,None,None,2,0,Good,apartment
chaumont-gistoux,"265,000",2,93,Installed,0,12,None,None,4,None,None,duplex
kluisbergen,"220,000",3,181,None,0,None,None,573,2,0,To renovate,house
antwerpen,"565,000",2,133,Hyper equipped,0,25,None,None,3,None,As new,penthouse
zaventem-sint-stevens-woluwe,"275,000",2,85,Installed,0,13,None,None,2,0,Good,apartment
vivegnis,"199,000",3,111,Semi equipped,0,10,100,191,4,None,To be done up,house
bissegem,"264,500",3,None,Hyper equipped,0,None,None,105,None,None,As new,house
aywaille,"230,000",3,97,Not installed,0,7,None,None,None,0,As new,apartment
leuven,"479,000",2,156,None,0,12,95,None,2,None,As new,apartment
arlon,"535,000",2,135,Hyper equipped,0,35,None,None,2,0,As new,ground-floor
hamme,"269,000",2,117,Installed,0,18,None,None,2,None,Just renovated,apartment
molenbeek-saint-jean,"239,000",2,116,Semi equipped,0,9,None,None,2,0,Good,apartment
bruxelles,"169,000",1,60,Hyper equipped,0,9,None,None,None,0,Good,apartment
zaventem-sterrebeek,"420,000",2,107,USA hyper equipped,None,14,None,None,None,None,As new,duplex
lievegem,"345,000",2,151,None,0,None,None,384,2,0,None,house
sint-niklaas,"559,500",3,185,Hyper equipped,0,42,None,None,4,None,Good,apartment
nothomb,"710,000",4,319,Installed,0,None,None,1197,4,None,Good,house
oostkamp,"289,000",3,126,Installed,0,None,None,488,None,0,None,house
koksijde,"255,000",2,62,None,0,4,None,None,None,0,To be done up,apartment
bastogne,"299,900",3,120,Not installed,0,18,None,514,4,None,None,house
uccle,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
sint-jans-molenbeek,"350,000",2,95,Installed,0,10,None,None,None,0,As new,apartment
affligem,"850,000",3,430,Hyper equipped,0,200,2300,2550,3,None,As new,exceptional-property
ottignies,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
mariakerke,"230,000",3,110,Semi equipped,0,None,None,329,None,None,To renovate,country-cottage
kortrijk,"130,000",2,60,Semi equipped,0,None,None,50,2,None,To be done up,house
bruxelles,"575,000",2,141,USA installed,None,None,None,None,None,0,As new,apartment
kessel,"379,700",3,168,Hyper equipped,None,None,None,278,3,None,As new,house
woluwe-saint-lambert,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
oupeye,"328,000",2,111,Installed,0,30,None,None,3,None,None,apartment
jette,"195,000",2,65,Not installed,0,None,None,None,3,None,Good,apartment
mortsel,"335,000",2,90,Installed,0,106,106,None,2,0,As new,ground-floor
bornem,"359,000",3,142,Installed,0,None,None,232,2,None,Good,house
uccle,"435,000",3,171,Installed,0,None,None,None,2,None,Just renovated,apartment
bernissart,"128,500",1,67,Hyper equipped,0,None,None,None,2,None,As new,apartment
saint-hubert,"299,000",4,None,USA installed,0,26,None,1289,4,0,To renovate,house
liege,"255,000",3,184,Semi equipped,0,54,48,171,3,0,As new,house
liedekerke,"385,000",2,221,Hyper equipped,0,21,None,428,3,None,As new,mixed-use-building
oudenaarde,"545,000",3,248,Hyper equipped,0,None,None,356,2,None,Good,house
chatelet-bouffioulx,"389,000",4,234,Installed,None,None,None,1003,4,None,As new,villa
antwerpen,"265,000",3,95,Hyper equipped,0,None,None,None,2,0,As new,apartment
leuven,"275,000",3,100,None,0,None,135,215,2,None,To renovate,house
arlon,"225,000",4,200,None,0,None,300,300,3,None,To renovate,house
braine-lalleud,"360,000",3,118,Not installed,0,20,214,None,4,0,None,ground-floor
genappe,"145,000",1,50,Hyper equipped,0,7,6929,None,4,1,As new,service-flat
woluwe-saint-lambert,"369,000",2,87,Hyper equipped,0,30,None,None,2,0,As new,penthouse
berlare,"435,000",3,300,Installed,0,None,None,525,2,None,Good,house
beyne-heusay-queue-du-bois,"299,000",4,164,Hyper equipped,0,78,763,1508,3,0,Good,house
auderghem,"360,000",2,145,Not installed,1,None,50,200,2,None,To renovate,mixed-use-building
court-saint-etienne,"395,000",4,206,Installed,0,None,None,359,4,None,Good,house
beaumont,"299,000",4,530,Hyper equipped,0,70,400,445,3,0,Just renovated,house
sint-amandsberg,"295,000",2,88,Installed,0,None,None,None,2,None,Good,apartment
heusden,"250,000",3,153,None,0,None,None,150,2,None,Good,house
uccle,"260,000",2,80,USA semi equipped,0,9,None,None,3,None,None,house
aubange,"105,000",1,50,Semi equipped,0,None,177,None,3,None,To be done up,apartment
perwez,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
villers-leveque,"260,000",4,133,Not installed,0,10,None,None,3,None,None,apartment
jemeppe,"299,000",3,108,Hyper equipped,0,32,461,None,2,None,Just renovated,bungalow
ruisbroek,"309,500",3,154,Installed,0,8,None,None,None,None,None,apartment
antwerp,"550,000",2,100,USA hyper equipped,None,22,None,None,None,None,Just renovated,apartment
overijse,"850,000",4,320,Installed,0,20,3428,None,4,None,Just renovated,villa
kortrijk,"196,000",2,78,Installed,0,3,None,None,2,0,Just renovated,apartment
tournai,"190,000",3,210,Semi equipped,0,1,1,260,4,None,To renovate,town-house
woluwe-saint-lambert,"345,000",3,100,USA hyper equipped,0,14,None,None,3,0,As new,apartment
petit-enghien,"165,000",2,71,Installed,0,None,None,None,None,None,Good,apartment
hoboken,"259,000",2,95,USA installed,None,None,85,195,2,None,Good,house
olloy-sur-viroin,"475,000",3,338,Installed,0,50,15000,15193,4,None,None,villa
woluwe-saint-lambert,"275,000",2,81,Hyper equipped,0,13,None,None,None,0,As new,apartment
jabbeke,"269,000",3,116,Hyper equipped,0,None,None,None,None,0,As new,apartment
anthisnes,"249,000",3,None,Semi equipped,0,None,195,561,4,None,Good,house
ekeren,"475,000",3,234,None,None,None,None,519,3,None,Good,house
temse,"429,000",4,163,Installed,0,None,None,407,4,0,As new,house
bois-de-lessines,"165,000",2,164,None,0,None,None,112,3,None,Good,house
huy,"269,000",3,164,Installed,0,20,None,130,2,None,Good,mansion
aalst,"159,000",2,125,Semi equipped,None,None,None,282,2,None,Good,house
oudenaarde,"423,500",2,114,None,0,16,None,None,3,0,None,apartment
sint-stevens-woluwe,"475,000",3,158,Semi equipped,0,20,55,204,2,None,Good,house
de-panne,"330,000",3,79,None,1,None,None,None,None,0,As new,duplex
uccle,"3,150,000",4,400,USA hyper equipped,0,100,None,1045,4,1,Just renovated,villa
anderlecht,"205,000",1,58,USA hyper equipped,0,9,None,None,4,None,None,apartment
aalst,"239,000",2,95,None,0,11,None,None,None,None,None,apartment
berlare,"310,000",2,80,None,0,18,None,None,3,None,None,apartment
meer,"845,000",5,308,Installed,0,20,None,9691,4,None,Good,house
liege,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
ixelles,"219,000",1,45,None,None,None,None,None,2,None,As new,apartment
diest,"420,000",4,336,USA installed,0,150,None,230,2,0,As new,house
jambes,"325,000",2,95,USA hyper equipped,0,6,None,None,None,0,As new,apartment
bruxelles,"235,000",1,67,None,None,8,None,None,None,None,None,apartment
jette,"149,000",None,54,Semi equipped,0,13,None,None,2,0,Good,flat-studio
schaerbeek,"229,000",2,100,Not installed,0,None,None,None,2,None,To renovate,duplex
wenduine,"189,000",2,60,Installed,0,None,None,None,None,0,As new,apartment
duffel,"345,000",3,140,Installed,0,40,280,384,3,0,Good,house
amay,"184,000",3,135,Not installed,0,None,200,248,3,None,None,house
aalst-meldert,"290,000",2,115,Installed,None,None,None,576,4,None,Good,house
houthulst,"229,900",2,100,Hyper equipped,0,None,None,375,4,None,As new,house
leuven,"335,000",2,93,None,0,9,20,91,2,0,Just renovated,house
woluwe-saint-pierre,"675,000",3,180,Semi equipped,None,14,None,None,None,None,Good,apartment
grez-doiceau,"1,395,000",6,424,Installed,0,None,None,5436,4,1,Good,villa
zedelgem,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
braine-alleud,"365,000",3,198,Installed,0,None,None,215,None,None,Good,house
antwerp,"595,000",3,160,Installed,0,None,None,None,None,None,Good,house
kortemark,"165,000",1,117,USA installed,0,None,None,156,None,0,As new,house
woluwe-saint-pierre,"895,000",3,133,USA hyper equipped,0,8,None,None,2,None,As new,apartment
nederbrakel,"1,150,000",11,435,Installed,0,None,None,798,2,None,Good,mixed-use-building
genval,"1,100,000",4,283,USA hyper equipped,0,63,537,None,4,0,As new,ground-floor
otegem,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-houses
westende,"87,500",1,39,Hyper equipped,0,None,None,None,2,None,Good,flat-studio
uccle,"185,000",1,45,Installed,0,5,None,None,2,0,Good,apartment
knokke-heist,"498,000",3,110,USA hyper equipped,0,None,None,None,None,0,Just renovated,apartment
rebaix,"365,000",3,157,Installed,0,None,None,1702,4,None,None,house
vilvoorde,"399,000",5,254,Installed,0,None,83,240,2,None,Good,mansion
remicourt,"275,000",3,120,Installed,0,44,676,748,4,None,Good,house
hoegaarden,"590,000",3,288,Semi equipped,0,None,None,371,4,None,None,house
oostende,"219,000",4,233,Installed,0,None,None,70,2,None,To renovate,apartment-block
auderghem,"329,000",1,70,Installed,None,13,None,None,None,None,As new,apartment
jette,"395,000",4,179,Hyper equipped,0,11,200,None,2,0,Good,loft
schorisse,None,3,237,None,None,None,None,9832,4,None,Good,house
schaerbeek,"305,000",2,106,Hyper equipped,0,5,None,None,2,0,Good,apartment
kortrijk,"158,000",2,75,Installed,0,None,None,None,2,None,Good,apartment
blankenberge,"280,000",2,None,Installed,None,None,None,None,None,0,Good,apartment
gent,"299,000",3,123,Installed,0,7,None,67,2,None,Good,house
liege,"950,000",4,230,None,None,56,None,None,None,None,As new,apartment
la-louviere,None,None,None,None,None,None,None,None,None,None,None,penthouse
kapellen,"345,000",3,148,Semi equipped,0,None,None,920,4,None,Good,house
kapellen,"297,500",2,96,None,None,None,None,None,2,None,As new,apartment
zottegem,"250,000",2,188,Hyper equipped,0,42,None,None,None,None,Good,loft
antwerp,"1,160,000",2,167,USA hyper equipped,None,18,None,None,None,0,As new,apartment
ixelles,"650,000",2,160,USA hyper equipped,1,None,None,None,None,0,As new,duplex
maldegem,"282,500",2,90,Installed,0,None,None,None,3,0,Good,apartment
kraainem,None,3,None,None,None,None,None,209,None,None,To be done up,town-house
antwerp,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
antwerpen,"249,000",2,85,USA hyper equipped,1,None,None,None,6,0,Good,apartment
uccle,"565,000",2,119,Hyper equipped,None,30,None,None,2,0,As new,apartment
oudenaarde,"725,000",6,272,None,0,None,None,1307,4,0,Good,house
torhout,"299,000",2,147,Installed,0,None,None,227,3,None,Good,apartment-block
zonhoven,"262,000",3,175,Installed,0,None,None,1490,4,None,To renovate,house
aywaille,"215,000",2,85,Not installed,0,7,None,None,None,0,As new,apartment
kapellen,"325,000",2,112,Hyper equipped,0,8,None,None,2,None,As new,apartment
les-bulles,"420,000",3,114,None,0,None,None,1995,4,None,Just renovated,house
nieuwkerken-waas,"179,000",2,112,Semi equipped,0,40,None,91,2,None,To renovate,house
haasrode,"395,000",3,168,None,0,None,None,572,3,None,None,house
saint-josse-ten-noode,"229,000",1,75,USA hyper equipped,0,None,1000,None,2,0,Good,duplex
woluwe-saint-lambert,"480,000",3,128,USA hyper equipped,0,10,None,None,3,0,As new,apartment
beersel,"149,000",1,47,Installed,0,None,None,None,2,None,Good,apartment
ronse,"185,000",2,None,Installed,0,10,165,291,2,0,To be done up,house
grivegnee,"139,000",2,52,Semi equipped,0,2,None,None,2,None,Good,apartment
brussel,"450,000",3,175,USA installed,0,42,None,None,2,0,As new,apartment
cerfontaine,"164,000",2,90,Hyper equipped,0,None,None,None,3,None,None,apartment
destelbergen,"448,750",3,170,None,0,1,600,770,4,None,To be done up,bungalow
wezembeek-oppem,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
dampremy,"159,999",2,108,USA installed,0,32,None,350,2,None,Good,house
eeklo,"539,000",5,None,Installed,0,None,None,859,4,0,As new,villa
woluwe-saint-pierre,"295,000",2,92,Semi equipped,0,16,None,None,2,0,Good,apartment
kortrijk,"205,000",2,80,Installed,0,2,None,None,None,0,Good,apartment
bruxelles,"795,000",3,195,Hyper equipped,0,2,None,None,2,0,As new,apartment
hotton,"125,000",2,126,Semi equipped,0,None,546,546,3,0,Good,house
lombardsijde,"159,000",2,161,Installed,0,None,None,167,2,None,To renovate,house
elsegem,"315,000",3,135,Installed,0,None,None,478,3,None,As new,house
woluwe-saint-pierre,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
bruxelles,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
grez-doiceau,"1,250,000",4,550,USA uninstalled,0,None,None,10461,4,1,As new,villa
oisquercq,"525,000",4,216,Installed,0,25,None,976,None,None,Good,villa
schaerbeek,"425,000",3,150,USA installed,0,None,None,None,2,0,To be done up,apartment
boom,"383,800",4,216,Hyper equipped,None,None,None,155,2,None,As new,town-house
etterbeek,"1,100,000",4,312,Hyper equipped,None,None,None,105,2,0,Good,apartment-block
bruxelles,"1,295,000",6,550,None,0,50,110,249,2,0,To be done up,apartment-block
aarschot,"160,000",3,133,Installed,0,16,135,244,2,None,To renovate,apartment-block
boortmeerbeek,"387,000",2,142,Hyper equipped,None,35,None,546,4,0,Good,bungalow
arlon,"550,000",5,381,None,0,None,None,3455,4,None,Just renovated,house
saint-gilles,"269,000",1,65,Installed,None,None,None,None,None,None,As new,apartment
saint-georges-sur-meuse,"239,000",3,151,Installed,0,30,616,714,None,None,Good,house
uccle,"800,000",4,175,USA hyper equipped,0,60,None,None,3,0,As new,apartment
uccle,"540,000",2,140,Hyper equipped,0,13,None,None,2,0,Good,apartment
evere,"205,000",None,36,Installed,0,7,None,None,4,0,As new,flat-studio
uccle,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
uccle,"595,000",4,176,Hyper equipped,0,4,None,None,2,0,As new,ground-floor
uccle,"690,000",4,218,Hyper equipped,0,25,None,None,3,0,Good,apartment
charleroi,"175,000",4,143,Semi equipped,0,16,89,202,None,None,To be done up,house
blankenberge,"340,000",2,70,Installed,1,None,None,None,2,None,Good,apartment
ixelles,"275,000",1,81,None,None,3,None,None,2,None,Good,apartment
wavre,"360,000",2,94,USA hyper equipped,0,29,None,None,None,0,As new,apartment
wavre,"479,000",3,135,USA hyper equipped,0,38,None,None,2,0,As new,apartment
wavre,"325,000",5,160,None,0,None,None,715,4,None,To renovate,house
